rank_b,rank_c,rank_m,loss,time
150,650,350,0.01765935868024826,0.6193177700042725
150,650,450,0.014891906641423702,0.6223726272583008
150,650,550,0.014001846313476562,0.6240847110748291
150,650,650,0.013895205222070217,0.6265406608581543
150,650,750,0.013735580258071423,0.6305782794952393
150,750,50,0.03527596592903137,0.6172842979431152
150,750,150,0.0276588536798954,0.6198446750640869
150,750,250,0.02175493910908699,0.6263535022735596
150,750,350,0.01763067953288555,0.6260218620300293
150,750,450,0.01485289353877306,0.627953290939331
150,750,550,0.013899576850235462,0.6311633586883545
150,750,650,0.01366248819977045,0.6330564022064209
150,750,750,0.013673009350895882,0.6350784301757812
250,50,50,0.07081548124551773,0.5808713436126709
250,50,150,0.0592849925160408,0.5841255187988281
250,50,250,0.05084526538848877,0.5850026607513428
250,50,350,0.0443151630461216,0.5884146690368652
250,50,450,0.040336787700653076,0.590139627456665
250,50,550,0.03934228792786598,0.5941510200500488
250,50,650,0.03922491893172264,0.5974245071411133
250,50,750,0.03926330804824829,0.600994348526001
250,150,50,0.04187742620706558,0.585399866104126
250,150,150,0.03345916047692299,0.5886008739471436
250,150,250,0.02753221057355404,0.5908160209655762
250,150,350,0.023603063076734543,0.5943679809570312
250,150,450,0.0208436269313097,0.5964090824127197
250,150,550,0.01991640217602253,0.598876953125
250,150,650,0.01947813853621483,0.6026256084442139
250,150,750,0.019661540165543556,0.6062793731689453
250,250,50,0.02672596648335457,0.5920813083648682
250,250,150,0.021129515022039413,0.594224214553833
250,250,250,0.016798561438918114,0.5973458290100098
250,250,350,0.013678830116987228,0.6000912189483643
250,250,450,0.011487935669720173,0.6021027565002441
250,250,550,0.010731141082942486,0.6051771640777588
250,250,650,0.010457823053002357,0.6084260940551758
250,250,750,0.010552950203418732,0.6111080646514893
250,350,50,0.022264739498496056,0.5975651741027832
250,350,150,0.017078997567296028,0.5998167991638184
250,350,250,0.01316172257065773,0.6033773422241211
250,350,350,0.010057122446596622,0.6061198711395264
250,350,450,0.008188200183212757,0.6092391014099121
250,350,550,0.007342965342104435,0.6109251976013184
250,350,650,0.007201638538390398,0.614271879196167
250,350,750,0.007116603199392557,0.6171083450317383
250,450,50,0.021033840253949165,0.605729341506958
250,450,150,0.015605411492288113,0.6075127124786377
250,450,250,0.011668448336422443,0.6112496852874756
250,450,350,0.008770947344601154,0.613455057144165
250,450,450,0.006876642350107431,0.6157052516937256
250,450,550,0.0060339756309986115,0.6194839477539062
250,450,650,0.005832945462316275,0.6205191612243652
250,450,750,0.005836805794388056,0.6237072944641113
250,550,50,0.020302806049585342,0.6125040054321289
250,550,150,0.01500008162111044,0.6193132400512695
250,550,250,0.011120559647679329,0.6185388565063477
250,550,350,0.008189828135073185,0.6194696426391602
250,550,450,0.0062731788493692875,0.6216785907745361
250,550,550,0.005392428487539291,0.6253228187561035
250,550,650,0.005192875396460295,0.6278905868530273
250,550,750,0.00518011674284935,0.6300990581512451
250,650,50,0.019873159006237984,0.6178288459777832
250,650,150,0.014780476689338684,0.6268932819366455
250,650,250,0.01074998825788498,0.6293900012969971
250,650,350,0.007817443460226059,0.6331896781921387
250,650,450,0.0058869426138699055,0.6459901332855225
250,650,550,0.005098398774862289,0.6374752521514893
250,650,650,0.00483793905004859,0.6399440765380859
250,650,750,0.004849052522331476,0.6427836418151855
250,750,50,0.020006347447633743,0.6299571990966797
250,750,150,0.014690945856273174,0.6325390338897705
250,750,250,0.010708596557378769,0.6360247135162354
250,750,350,0.007786056492477655,0.6384398937225342
250,750,450,0.0058019342832267284,0.6417343616485596
250,750,550,0.0049420068971812725,0.6452100276947021
250,750,650,0.0047799330204725266,0.6474385261535645
250,750,750,0.004777116235345602,0.6510343551635742
350,50,50,0.07180686295032501,0.5878450870513916
350,50,150,0.05959072709083557,0.58998703956604
350,50,250,0.05075955018401146,0.590646505355835
350,50,350,0.04442187398672104,0.5951564311981201
350,50,450,0.04049190878868103,0.5957777500152588
350,50,550,0.039412546902894974,0.6005916595458984
350,50,650,0.03892447054386139,0.6029045581817627
350,50,750,0.038912296295166016,0.6064329147338867
350,150,50,0.041385725140571594,0.5905308723449707
350,150,150,0.033419836312532425,0.5935466289520264
350,150,250,0.027129830792546272,0.5982522964477539
350,150,350,0.0231830645352602,0.6010379791259766
350,150,450,0.020411120727658272,0.6029446125030518
350,150,550,0.01938781514763832,0.6053249835968018
350,150,650,0.019176403060555458,0.6075503826141357
350,150,750,0.01932157762348652,0.6135482788085938
350,250,50,0.024964625015854836,0.5976297855377197
350,250,150,0.01943071372807026,0.6015908718109131
350,250,250,0.015414312481880188,0.604132890701294
350,250,350,0.012524775229394436,0.6083955764770508
350,250,450,0.010486015118658543,0.608727216720581
350,250,550,0.009690525010228157,0.6110668182373047
350,250,650,0.009445144794881344,0.6156811714172363
350,250,750,0.009633171372115612,0.6172275543212891
350,350,50,0.017133798450231552,0.6026661396026611
350,350,150,0.012672490440309048,0.6062870025634766
350,350,250,0.009523005224764347,0.6086974143981934
350,350,350,0.007239814847707748,0.6119716167449951
350,350,450,0.005598101299256086,0.6144394874572754
350,350,550,0.004801796283572912,0.6170241832733154
350,350,650,0.004592812620103359,0.620673418045044
350,350,750,0.0047373720444738865,0.6252310276031494
350,450,50,0.014564456418156624,0.6132197380065918
350,450,150,0.010384281165897846,0.6182599067687988
350,450,250,0.007408436853438616,0.6178836822509766
350,450,350,0.005279269069433212,0.620927095413208
350,450,450,0.003673781407997012,0.6219840049743652
350,450,550,0.002979767508804798,0.6249308586120605
350,450,650,0.002740738447755575,0.6298911571502686
350,450,750,0.0027609735261648893,0.6381561756134033
350,550,50,0.01358803454786539,0.624321699142456
350,550,150,0.009595041163265705,0.6277432441711426
350,550,250,0.006650967989116907,0.630363941192627
350,550,350,0.004426540806889534,0.6343681812286377
350,550,450,0.002911023795604706,0.6336936950683594
350,550,550,0.0021858077961951494,0.6304333209991455
350,550,650,0.002037924015894532,0.6346292495727539
350,550,750,0.0020045044366270304,0.6391196250915527
350,650,50,0.013275003992021084,0.6307997703552246
350,650,150,0.009155211970210075,0.6349167823791504
350,650,250,0.006217967253178358,0.6375288963317871
350,650,350,0.004042574670165777,0.6418800354003906
350,650,450,0.0025286893360316753,0.6433260440826416
350,650,550,0.0017898270161822438,0.6441209316253662
350,650,650,0.001632737461477518,0.646324872970581
350,650,750,0.0016003904165700078,0.6502008438110352
350,750,50,0.013151868246495724,0.6362593173980713
350,750,150,0.008968221955001354,0.6400525569915771
350,750,250,0.00609171437099576,0.6423914432525635
350,750,350,0.003907320089638233,0.6444423198699951
350,750,450,0.002407437888905406,0.6468522548675537
350,750,550,0.0016663026763126254,0.6500089168548584
350,750,650,0.0015190275153145194,0.6527562141418457
350,750,750,0.001486278255470097,0.6583271026611328
450,50,50,0.07077466696500778,0.5969152450561523
450,50,150,0.05930257961153984,0.5965876579284668
450,50,250,0.05047181248664856,0.5977246761322021
450,50,350,0.04426530748605728,0.600745439529419
450,50,450,0.04045543447136879,0.6038150787353516
450,50,550,0.039222352206707,0.6063015460968018
450,50,650,0.03839727118611336,0.6097519397735596
450,50,750,0.038785699754953384,0.6118850708007812
450,150,50,0.04090641438961029,0.5975067615509033
450,150,150,0.03281160444021225,0.6006057262420654
450,150,250,0.02719232067465782,0.6052548885345459
